31 6 32 6 10
17 9 19 12 3
8 6 9 7 7
27 10 28 12 2
13 8 15 11 3
15 3 17 3 6
15 10 16 13 2
3 7 5 8 2
1 4 4 6 10
30 4 30 4 9
30 3 32 3 3
13 3 16 5 9
6 5 8 7 3
17 6 18 7 6
24 11 26 11 9
9 6 12 9 8
24 9 24 9 8
24 5 27 7 1
5 6 6 7 2
24 1 24 4 7
30 7 31 10 1
4 1 5 2 1
19 1 20 3 9
6 10 9 10 2
11 1 11 1 4
26 5 28 8 3
12 8 15 11 7
21 4 21 5 5
21 9 24 11 7
7 3 9 5 6
28 7 31 8 9
4 6 5 8 3
15 4 16 4 6
28 3 28 3 6
3 13 6 13 6
7 7 8 7 1
9 10 9 11 5
6 13 7 13 6
21 1 23 4 5
21 5 24 7 9
10 6 13 8 4
14 8 17 9 4
26 9 27 9 5
11 12 13 12 9
27 1 29 2 1
14 11 14 13 8
15 2 16 3 2
23 5 24 7 3
4 3 6 6 5
4 9 4 11 4
19 13 19 13 8
22 7 25 7 2
28 9 31 9 3
5 3 8 3 10
25 1 28 3 8
8 2 10 3 7
27 6 30 7 1
23 5 24 8 1
25 1 27 1 5
30 3 30 3 10
10 3 12 5 10
8 8 11 8 9
11 8 12 10 5
5 1 8 4 10
11 8 11 8 7
24 8 27 10 2
16 10 16 13 9
24 12 26 13 6
1 3 4 6 10
4 5 6 7 6
5 2 6 2 1
12 10 13 12 10
7 2 10 4 6
1 8 4 8 10
17 9 18 11 10
25 13 28 13 1
28 3 31 4 7
16 3 17 4 9
25 11 28 13 4
22 3 23 4 4
18 11 21 11 1
32 3 32 5 2
7 5 9 8 1
9 9 10 9 2
28 9 31 11 3
27 10 27 10 3
21 2 21 3 6
21 6 23 7 1
11 4 11 4 3
1 1 3 3 9
26 8 26 9 1
11 7 11 10 3
22 6 23 8 1
4 6 6 9 9
21 3 21 3 2
5 7 8 8 5
27 10 29 13 3
20 4 20 6 4
1 8 1 8 5
16 6 17 6 2
22 4 23 5 8
25 10 27 11 7
29 6 30 9 8
28 6 31 9 8
27 1 27 3 3
12 4 12 6 8
4 8 7 8 10
3 10 4 10 6
17 8 17 8 5
12 10 13 11 3
16 8 16 8 10
16 3 16 5 1
